"year";"survey";"prov";"wat";"hhsize";"popwt";"hhwt";"count";"perc"
2003;"DHS 2003";"Cabo Delgado";"Other";2;2687500;1343750;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";3;1955730;651910;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";3;2286216;762072;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";3;3012693;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";3;4031250;1343750;5;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;3048288;762072;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;3677504;919376;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;4016924;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;4283980;1070995;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";4;5375000;1343750;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";5;3259550;651910;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";5;5021155;1004231;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;2368572;394762;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;6025386;1004231;4;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;6425970;1070995;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;8062500;1343750;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;8604516;1434086;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";6;11625648;1937608;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";7;2763334;394762;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";7;6435632;919376;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";7;9406250;1343750;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";8;8033848;1004231;2;100
2003;"DHS 2003";"Cabo Delgado";"Other";11;11046541;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Other";16;16067696;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;396568;396568;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;466287;466287;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;586316;586316;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;604522;604522;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;704456;704456;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;834355;834355;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;957133;957133;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;1108554;1108554;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;1140059;1140059;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;1156090;1156090;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;1358666;1358666;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;1640871;1640871;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;1694566;1694566;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;1937608;1937608;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;2115295;2115295;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;2954322;2954322;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";1;3254758;3254758;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;257670;128835;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;793136;396568;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;932574;466287;4;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;1167094;583547;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;1172632;586316;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;1209044;604522;5;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;1408912;704456;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;1477924;738962;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;1639564;819782;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;1668710;834355;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;1838752;919376;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;1914266;957133;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;2008462;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;2217108;1108554;4;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;2312180;1156090;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;2717332;1358666;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;3062362;1531181;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;3281742;1640871;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;3389132;1694566;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;3875216;1937608;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;5908644;2954322;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";2;6509516;3254758;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;1189704;396568;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;1398861;466287;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;1750641;583547;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;1758948;586316;6;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;1813566;604522;7;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;2216886;738962;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;2459346;819782;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;2503065;834355;6;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;2664039;888013;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;2758128;919376;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;2871399;957133;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;3012693;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;3325662;1108554;5;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;3420177;1140059;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;3468270;1156090;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;4593543;1531181;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;4795872;1598624;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;5083698;1694566;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;6295551;2098517;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;6345885;2115295;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";3;8862966;2954322;5;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;1586272;396568;6;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;1865148;466287;4;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;2334188;583547;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;2345264;586316;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;2418088;604522;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;2607640;651910;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;2955848;738962;4;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;3279128;819782;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;3284428;821107;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;3552052;888013;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;3677504;919376;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;3828532;957133;6;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;4016924;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;4434216;1108554;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;4560236;1140059;4;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;4624360;1156090;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;6124724;1531181;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;6394496;1598624;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;6563484;1640871;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;8461180;2115295;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;11817288;2954322;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";4;13019032;3254758;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;1982840;396568;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;2331435;466287;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;2931580;586316;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;3022610;604522;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;3522280;704456;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;3694810;738962;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;4171775;834355;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;4440065;888013;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;5272720;1054544;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;5542770;1108554;5;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;5700295;1140059;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;5780450;1156090;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;8204355;1640871;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;9688040;1937608;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;10576475;2115295;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;14771610;2954322;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";5;16273790;3254758;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;2797722;466287;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;3517896;586316;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;4226736;704456;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;4433772;738962;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;4918692;819782;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;5006130;834355;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;5328078;888013;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;5742798;957133;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;6840354;1140059;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;9187086;1531181;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;9845226;1640871;3;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;10167396;1694566;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;11625648;1937608;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;12691770;2115295;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;17725932;2954322;4;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";6;19528548;3254758;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;2775976;396568;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;3264009;466287;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;4104212;586316;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;5172734;738962;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;5738474;819782;5;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;5840485;834355;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;6216091;888013;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;6435632;919376;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;6699931;957133;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;7980413;1140059;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;8092630;1156090;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";7;13563256;1937608;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";8;5635648;704456;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";8;6674840;834355;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";8;8033848;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";8;9120472;1140059;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";8;9248720;1156090;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";8;15500864;1937608;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";8;23634576;2954322;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";9;7509195;834355;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";9;7992117;888013;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";9;9038079;1004231;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";9;10404810;1156090;2;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";10;7044560;704456;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";10;21152950;2115295;1;100
2003;"DHS 2003";"Cabo Delgado";"Protected Public Well";12;11485596;957133;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";1;738962;738962;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";1;888013;888013;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";1;1156090;1156090;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";1;1598624;1598624;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";1;1937608;1937608;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";1;2954322;2954322;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";1;3254758;3254758;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";2;793136;396568;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";2;1477924;738962;1;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";2;1776026;888013;4;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";2;1838752;919376;2;100
2003;"DHS 2003";"Cabo Delgado";"Public Water";2;3197248;1598624;3;100
