Piped on premises
Piped on premises
Piped into neighbour's yard/plot
Piped on premises
Rainwater
Delivered water (or cart or truck)
Public tap/standpipe
Unprotected spring
Protected spring
Public tap/standpipe
Borehole (with handpump)
Well with handpump
Unprotected well
Well or borehole with hand pump
Protected well without handpump
Surface water
Bottled Water
Bottled Water
Bottled Water
Borehole (with handpump)
Bottled Water
Delivered water (or cart or truck)
Delivered water (or cart or truck)
Piped on premises
Piped on premises
Borehole or Protected Well (with handpump)
Piped into neighbour's yard/plot
Piped on premises
Piped into neighbour's yard/plot
Piped on premises
Piped into neighbour's yard/plot
Piped into neighbour's yard/plot
Other
Other
Other
Piped on premises
Piped into neighbour's yard/plot
Piped on premises
Unprotected well
Unprotected well, rainwater
Well or borehole with hand pump
Protected well
Protected well
Protected spring
Protected well
Public tap/standpipe
Public tap/standpipe
Rainwater
Surface water
Protected well without handpump
Surface water
Delivered water (or cart or truck)
Public tap/standpipe
Borehole (with handpump)
Unprotected Well
Unprotected Spring
Unprotected Well
