Posto_key;POSTOID;key;Provincia_first;Distrito_first;Posto_first;Posto_first.y;water3;N.Surface;P.Surface
Tsangano;51202;Tete Tsangano Tsangano;Tete;Tsangano;Tsangano;Tsangano;Surface water;500;7,1
Tome;80202;Inhambane Funhalouro Tome;Inhambane;Funhalouro;Tome;Tome;Surface water;153;11,7
Tica;71302;Sofala Nhamatanda Tica;Sofala;Nhamatanda;Tica;Tica;Surface water;388;4,4
Tchaimite;90303;Gaza Chibuto Tchaimite;Gaza;Chibuto;Tchaimite;Tchaimite;Surface water;868;25
Tacuane;40802;Zambezia Lugela Tacuane;Zambezia;Lugela;Tacuane;Tacuane;Surface water;159;6,9
Sussundenga-Sede;60901;Manica Sussundenga Sussundenga-Sede;Manica;Sussundenga;Sussundenga-Sede;Sussundenga-Sede;Surface water;978;17,5
Subue;71003;Sofala Maringue Subue;Sofala;Maringue;Subue;Subue;Surface water;68;3,5
Songo;50301;Tete Cahora-Bassa Songo;Tete;Cahora-Bassa;Songo;Songo;Surface water;105;2,1
Socone;40603;Zambezia Ile Socone;Zambezia;Ile;Socone;Socone;Surface water;171;3,9
Sena;70303;Sofala Caia Sena;Sofala;Caia;Sena;Sena;Surface water;324;7,2
Save2;80302;Inhambane Govuro Save;Inhambane;Govuro;Save;Save;Surface water;235;35,2
Save;60502;Manica Machaze Save;Manica;Machaze;Save;Save;Surface water;1740;51
Savane;70703;Sofala Dondo Savane;Sofala;Dondo;Savane;Savane;Surface water;55;3
Saua-Saua;31903;Nampula Nacaroa Saua-Saua;Nampula;Nacaroa;Saua-Saua;Saua-Saua;Surface water;334;12,5
Sanjala;10101;Niassa Lichinga Sanjala;Niassa;Lichinga;Sanjala;Sanjala;Surface water;126;1,3
Samora Machel;41901;Zambezia Luabo Samora Machel;Zambezia;Luabo;Samora Machel;Samora Machel;Surface water;1656;51,3
Sabie;100704;Maputo Provincia Moamba Sabie;Maputo Provincia;Moamba;Sabie;Sabie;Surface water;874;47,6
Rotanda;60904;Manica Sussundenga Rotanda;Manica;Sussundenga;Rotanda;Rotanda;Surface water;462;29,8
Ribáuè;32101;Nampula Rib.u. Rib.u.;Nampula;Rib.u.;Rib.u.;Rib.u.;Surface water;1111;21,5
Ressano Garcia;100703;Maputo Provincia Moamba Ressano Garcia;Maputo Provincia;Moamba;Ressano Garcia;Ressano Garcia;Surface water;183;13,5
Regone;41502;Zambezia Namarroi Regone;Zambezia;Namarroi;Regone;Regone;Surface water;396;8,4
Rapale;32001;Nampula Rapale Rapale;Nampula;Rapale;Rapale;Rapale;Surface water;597;8,9
Quixaxe;31002;Nampula Mogincual Quixaxe;Nampula;Mogincual;Quixaxe;Quixaxe;Surface water;268;8,4
Quiterajo;20604;Cabo Delgado Macomia Quiterajo;Cabo Delgado;Macomia;Quiterajo;Quiterajo;Surface water;42;3,2
Quissico;81401;Inhambane Zavala Quissico;Inhambane;Zavala;Quissico;Quissico;Surface water;72;1,2
Quissanga;21701;Cabo Delgado Quissanga Quissanga;Cabo Delgado;Quissanga;Quissanga;NA;Surface water;0;0
Quirimba;20502;Cabo Delgado Ibo Quirimba;Cabo Delgado;Ibo;Quirimba;NA;Surface water;0;0
Quionga;21504;Cabo Delgado Palma Quionga;Cabo Delgado;Palma;Quionga;Quionga;Surface water;135;17,2
Quinga;32302;Nampula Liupo Quinga;Nampula;Liupo;Quinga;Quinga;Surface water;119;2,3
Pundanhar;21503;Cabo Delgado Palma Pundanhar;Cabo Delgado;Palma;Pundanhar;Pundanhar;Surface water;83;19,6
Praia;90104;Gaza Xai-Xai Praia;Gaza;Xai-Xai;Praia;Praia;Surface water;4;0,4
Pessene;100702;Maputo Provincia Moamba Pessene;Maputo Provincia;Moamba;Pessene;Pessene;Surface water;62;1,8
Pembe;80402;Inhambane Homoine Pembe;Inhambane;Homoine;Pembe;Pembe;Surface water;58;3,8
Pebane-Sede;41701;Zambezia Pebane Pebane-Sede;Zambezia;Pebane;Pebane-Sede;Pebane-Sede;Surface water;84;1,1
Patrice Lumumba;90103;Gaza Xai-Xai Patrice Lumumba;Gaza;Xai-Xai;Patrice Lumumba;Patrice Lumumba;Surface water;1;0
Papai;21306;Cabo Delgado Namuno Papai;Cabo Delgado;Namuno;Papai;Papai;Surface water;334;20,5
Panjane;100305;Maputo Provincia Magude Panjane;Maputo Provincia;Magude;Panjane;Panjane;Surface water;132;33
Panda;81201;Inhambane Panda Panda;Inhambane;Panda;Panda;Panda;Surface water;44;1,3
Palma;21501;Cabo Delgado Palma Palma;Cabo Delgado;Palma;Palma;Palma;Surface water;61;1,5
Pafuri;90403;Gaza Chicualacuala Pafuri;Gaza;Chicualacuala;Pafuri;Pafuri;Surface water;225;37,5
Olumbe;21502;Cabo Delgado Palma Olumbe;Cabo Delgado;Palma;Olumbe;Olumbe;Surface water;79;5,6
Ocua;20406;Cabo Delgado Chiure Ocua;Cabo Delgado;Chiure;Ocua;Ocua;Surface water;1527;25,9
Nungo;10703;Niassa Marrupa Nungo;Niassa;Marrupa;Nungo;Nungo;Surface water;161;17,8
Ntlhavene;90803;Gaza Mabalane Ntlhavene;Gaza;Mabalane;Ntlhavene;Ntlhavene;Surface water;775;74,4
Ntengo-Wa-Mbalame;51201;Tete Tsangano Ntengo-Wambalame;Tete;Tsangano;Ntengo-Wambalame;Ntengo-Wambalame;Surface water;939;6,5
Ntamba;21402;Cabo Delgado Nangade Ntamba;Cabo Delgado;Nangade;Ntamba;Ntamba;Surface water;583;15,5
Nova Sofala;70203;Sofala Buzi Nova Sofala;Sofala;Buzi;Nova Sofala;Nova Sofala;Surface water;28;1
Nova Mambone;80301;Inhambane Govuro Nova Mambone;Inhambane;Govuro;Nova Mambone;Nova Mambone;Surface water;276;9,4
Nipepe-Sede;11501;Niassa Nipepe Nipepe-Sede;Niassa;Nipepe;Nipepe-Sede;Nipepe-Sede;Surface water;508;15,8
Nihessiue;31603;Nampula Murrupula Nihessiue;Nampula;Murrupula;Nihessiue;Nihessiue;Surface water;601;15,9
Nicoadala-Sede;41601;Zambezia Nicoadala Nicoadala-Sede;Zambezia;Nicoadala;Nicoadala-Sede;Nicoadala-Sede;Surface water;109;1,1
Nhampassa;60203;Manica Barue Nhampassa;Manica;Barue;Nhampassa;Nhampassa;Surface water;299;6,3
Nhamayabwe;51101;Tete Mutarara Nhamayabue;Tete;Mutarara;Nhamayabue;Nhamayabue;Surface water;581;10,3
Nhamatanda;71301;Sofala Nhamatanda Nhamatanda;Sofala;Nhamatanda;Nhamatanda;Nhamatanda;Surface water;1992;10,3
Nhamassonge;60405;Manica Guro Nhamassonge;Manica;Guro;Nhamassonge;Nhamassonge;Surface water;218;18,6
Nhamagua;60603;Manica Macossa Nhamagua;Manica;Macossa;Nhamagua;Nhamagua;Surface water;285;12,2
Nhacolo;61001;Manica Tambara Nhacolo;Manica;Tambara;Nhacolo;Nhacolo;Surface water;257;8,2
Nhacafula;61003;Manica Tambara Nhacafula;Manica;Tambara;Nhacafula;Nhacafula;Surface water;48;5,2
Nguzene;91303;Gaza Chongoene Nguzene;Gaza;Chongoene;Nguzene;NA;Surface water;0;0
Nguawala;60602;Manica Macossa Nguawala;Manica;Macossa;Nguawala;Nguawala;Surface water;397;86,5
N'gapa;21105;Cabo Delgado Mueda N'gapa;Cabo Delgado;Mueda;N'gapa;N'gapa;Surface water;882;20,4
Netia;31303;Nampula Monapo Netia;Nampula;Monapo;Netia;Netia;Surface water;1594;10,9
Negomano;21104;Cabo Delgado Mueda Negomano;Cabo Delgado;Mueda;Negomano;Negomano;Surface water;203;55,3
Ndindiza;90502;Gaza Chigubo Ndindiza;Gaza;Chigubo;Ndindiza;Ndindiza;Surface water;627;39,8
Ncumpe;21305;Cabo Delgado Namuno Ncumpe;Cabo Delgado;Namuno;Ncumpe;Ncumpe;Surface water;60;1,5
Nauela;40202;Zambezia Alto Molocue Nauela;Zambezia;Alto Molocue;Nauela;Nauela;Surface water;1438;15,8
Natikire;30106;Nampula Nampula Natikire;Nampula;Nampula;Natikire;Natikire;Surface water;315;3
Napipine;30105;Nampula Nampula Napipine;Nampula;Nampula;Napipine;Napipine;Surface water;70;0,8
Nao Aplicavel 9;110299;Cidade de Maputo Nhlamankulu Nao Aplicavel;Cidade de Maputo;Nhlamankulu;Nao Aplicavel;NA;Surface water;0;0
Nao Aplicavel 8;110699;Cidade de Maputo Ka Tembe Nao Aplicavel;Cidade de Maputo;Ka Tembe;Nao Aplicavel;NA;Surface water;0;0
Nao Aplicavel 7;110799;Cidade de Maputo Ka Nyaka Nao Aplicavel;Cidade de Maputo;Ka Nyaka;Nao Aplicavel;NA;Surface water;0;0
Nao Aplicavel 6;110599;Cidade de Maputo Ka Mubukwana Nao Aplicavel;Cidade de Maputo;Ka Mubukwana;Nao Aplicavel;Nao Aplicavel;Surface water;32;0,1
Nao Aplicavel 5;110199;Cidade de Maputo Ka Mpfumo Nao Aplicavel;Cidade de Maputo;Ka Mpfumo;Nao Aplicavel;Nao Aplicavel;Surface water;23;0,3
Nao Aplicavel 4;110399;Cidade de Maputo Ka Maxakeni Nao Aplicavel;Cidade de Maputo;Ka Maxakeni;Nao Aplicavel;NA;Surface water;0;0
Nao Aplicavel 3;110499;Cidade de Maputo Ka Mavota Nao Aplicavel;Cidade de Maputo;Ka Mavota;Nao Aplicavel;NA;Surface water;0;0
Nao Aplicavel 2;81099;Inhambane Cidade de Maxixe Nao aplicavel;Inhambane;Cidade de Maxixe;Nao aplicavel;NA;Surface water;0;0
Nao Aplicavel 10;20199;Cabo Delgado Cidade de Pemba Nao Aplicavel;Cabo Delgado;Cidade de Pemba;Nao Aplicavel;Nao Aplicavel;Surface water;13;0,1
Nao Aplicavel 1;80199;Inhambane Cidade de Inhambane Nao Aplicavel;Inhambane;Cidade de Inhambane;Nao Aplicavel;Nao Aplicavel;Surface water;16;0,2
Não Aplicavel;50199;Tete Cidade de Tete N.o Aplicavel;Tete;Cidade de Tete;N.o Aplicavel;N.o Aplicavel;Surface water;824;2,7
Nante;40904;Zambezia Maganja da Costa Nante;Zambezia;Maganja da Costa;Nante;Nante;Surface water;99;1,9
Nanhupo Rio;31105;Nampula Mogovolas Nanhupo Rio;Nampula;Mogovolas;Nanhupo Rio;Nanhupo Rio;Surface water;150;3,1
Nangade-Sede;21401;Cabo Delgado Nangade Nangade-Sede;Cabo Delgado;Nangade;Nangade-Sede;Nangade-Sede;Surface water;564;10,5
Namuno-Sede;21301;Cabo Delgado Namuno Namuno-Sede;Cabo Delgado;Namuno;Namuno-Sede;Namuno-Sede;Surface water;597;5,8
Namogelia;20405;Cabo Delgado Chiure Namogelia;Cabo Delgado;Chiure;Namogelia;Namogelia;Surface water;1063;28,6
Namiroa;30303;Nampula Erati Namiroa;Nampula;Erati;Namiroa;Namiroa;Surface water;301;3,9
Naminge;31001;Nampula Mogincual Naminge;Nampula;Mogincual;Naminge;Naminge;Surface water;343;5,1
Namina;30804;Nampula Mecuburi Namina;Nampula;Mecuburi;Namina;Namina;Surface water;809;17,5
Namicundi;11201;Niassa Metarica Namicundi;Niassa;Metarica;Namicundi;Namicundi;Surface water;422;13,8
Namicopo;30104;Nampula Nampula Namicopo;Nampula;Nampula;Namicopo;Namicopo;Surface water;94;1,5
Namialo;30703;Nampula Meconta Namialo;Nampula;Meconta;Namialo;Namialo;Surface water;97;1,3
Nametil;31101;Nampula Mogovolas Nametil;Nampula;Mogovolas;Nametil;Nametil;Surface water;76;5,8
Namarroi;41501;Zambezia Namarroi Namarroi;Zambezia;Namarroi;Namarroi;Namarroi;Surface water;138;1,5
Namaponda;30203;Nampula Angoche Namaponda;Nampula;Angoche;Namaponda;Namaponda;Surface water;87;1,6
Namapa;30301;Nampula Erati Namapa;Nampula;Erati;Namapa;Namapa;Surface water;2321;16,6
Namanjavira;41103;Zambezia Mocuba Namanjavira;Zambezia;Mocuba;Namanjavira;Namanjavira;Surface water;840;12,1
Namanhumbir;21005;Cabo Delgado Montepuez Namanhumbir;Cabo Delgado;Montepuez;Namanhumbir;Namanhumbir;Surface water;3;0,1
Namaita;32004;Nampula Rapale Namaita;Nampula;Rapale;Namaita;Namaita;Surface water;1427;18,6
Namacurra-Sede;41401;Zambezia Namacurra Namacurra-Sede;Zambezia;Namacurra;Namacurra-Sede;Namacurra-Sede;Surface water;19;0,2
Namaacha;100801;Maputo Provincia Namaacha Namaacha;Maputo Provincia;Namaacha;Namaacha;Namaacha;Surface water;418;28,2
Nalazi;90704;Gaza Guija Nalazi;Gaza;Guija;Nalazi;Nalazi;Surface water;499;37,5
Nairrubi;10503;Niassa Majune Nairrubi;Niassa;Majune;Nairrubi;Nairrubi;Surface water;5;1,1
Nairoto;21004;Cabo Delgado Montepuez Nairoto;Cabo Delgado;Montepuez;Nairoto;Nairoto;Surface water;210;20,3
Nacumua;11202;Niassa Metarica Nacumua;Niassa;Metarica;Nacumua;Nacumua;Surface water;488;34,2
Nacaroa;31901;Nampula Nacaroa Nacaroa;Nampula;Nacaroa;Nacaroa;Nacaroa;Surface water;759;10,8
Nacala-A-Velha;31801;Nampula Nacala-A-Velha Nacala-A-Velha;Nampula;Nacala-A-Velha;Nacala-A-Velha;Nacala-A-Velha;Surface water;390;6,9
Naburi;41703;Zambezia Pebane Naburi;Zambezia;Pebane;Naburi;Naburi;Surface water;360;6
N’sadzu;50503;Tete Chifunde Nsadzo;Tete;Chifunde;Nsadzo;Nsadzo;Surface water;840;23,2
Mwaladzi;50502;Tete Chifunde Mualadzi;Tete;Chifunde;Mualadzi;Mualadzi;Surface water;3741;35,8
Muze;51302;Tete Zumbo Muze;Tete;Zumbo;Muze;Muze;Surface water;1125;29,4
Muxungue;70603;Sofala Chibabava Muxungue;Sofala;Chibabava;Muxungue;Muxungue;Surface water;1847;22,4
Mutuali;30603;Nampula Malema Mutuali;Nampula;Malema;Mutuali;Mutuali;Surface water;2120;31,2
Mutivaze;32003;Nampula Rapale Mutivaze;Nampula;Rapale;Mutivaze;Mutivaze;Surface water;212;8,7
Mutiva;31701;Nampula Nacala Porto Mutiva;Nampula;Nacala Porto;Mutiva;Mutiva;Surface water;160;0,7
Murrupula;31601;Nampula Murrupula Murrupula;Nampula;Murrupula;Murrupula;Murrupula;Surface water;3309;25,3
Murrebue;20702;Cabo Delgado Mecufi Murrebue;Cabo Delgado;Mecufi;Murrebue;NA;Surface water;0;0
Murraca;70302;Sofala Caia Murraca;Sofala;Caia;Murraca;Murraca;Surface water;5;0,2
Muoha;60903;Manica Sussundenga Muoha;Manica;Sussundenga;Muoha;Muoha;Surface water;889;34,6
Municipio de Manica;60701;Manica Manica Municipio de Manica;Manica;Manica;Municipio de Manica;Municipio de Manica;Surface water;20;0,3
Municipio da Praia de Bilene;90205;Gaza Bilene Municipio da Praia de Bilene;Gaza;Bilene;Municipio da Praia de Bilene;Municipio da Praia de Bilene;Surface water;15;1,3
Municipal-Sede;90101;Gaza Xai-Xai Municipal-Sede;Gaza;Xai-Xai;Municipal-Sede;Municipal-Sede;Surface water;124;2,9
Munhamade;40803;Zambezia Lugela Munhamade;Zambezia;Lugela;Munhamade;Munhamade;Surface water;1519;21,2
Mungari;60404;Manica Guro Mungari;Manica;Guro;Mungari;Mungari;Surface water;284;15,2
Muluco;11502;Niassa Nipepe Muluco;Niassa;Nipepe;Muluco;Muluco;Surface water;231;17,2
Mulima;70403;Sofala Chemba Mulima;Sofala;Chemba;Mulima;Mulima;Surface water;47;1,5
Mulela (Mualama);41702;Zambezia Pebane Mulela (Mualama);Zambezia;Pebane;Mulela (Mualama);Mulela (Mualama);Surface water;180;2,5
Muite;30803;Nampula Mecuburi Muite;Nampula;Mecuburi;Muite;Muite;Surface water;1211;29,7
Muhala;30103;Nampula Nampula Muhala;Nampula;Nampula;Muhala;Muhala;Surface water;243;1,1
Mugeba;41102;Zambezia Mocuba Mugeba;Zambezia;Mocuba;Mugeba;Mugeba;Surface water;906;7,9
Mufa Boroma;51502;Tete Marara Mufa Boroma;Tete;Marara;Mufa Boroma;Mufa Boroma;Surface water;132;5,2
Muembe;11301;Niassa Muembe Muembe;Niassa;Muembe;Muembe;Muembe;Surface water;162;5,2
Mueda-Sede;21101;Cabo Delgado Mueda Mueda-Sede;Cabo Delgado;Mueda;Mueda-Sede;Mueda-Sede;Surface water;68;0,9
Muecate-Sede;31501;Nampula Muecate Muecate-Sede;Nampula;Muecate;Muecate-Sede;Muecate-Sede;Surface water;227;12,1
Mucupia;40701;Zambezia Inhassunge Mucupia;Zambezia;Inhassunge;Mucupia;NA;Surface water;0;0
Mucumbura;50803;Tete Magoe Mucumbura;Tete;Magoe;Mucumbura;Mucumbura;Surface water;568;15,1
Mucumbi;80502;Inhambane Inharrime Mucumbi;Inhambane;Inharrime;Mucumbi;NA;Surface water;0;0
Mucuali;32202;Nampula Larde Mucuali;Nampula;Larde;Mucuali;Mucuali;Surface water;153;3,9
Mucoluane;31503;Nampula Muecate Mucoluane;Nampula;Muecate;Mucoluane;Mucoluane;Surface water;252;14,4
Mucojo;20603;Cabo Delgado Macomia Mucojo;Cabo Delgado;Macomia;Mucojo;Mucojo;Surface water;70;1,9
Mubangoene;90703;Gaza Guija Mubangoene;Gaza;Guija;Mubangoene;Mubangoene;Surface water;143;4,2
Muatua;31104;Nampula Mogovolas Muatua;Nampula;Mogovolas;Muatua;Muatua;Surface water;204;4,3
Muatala;30102;Nampula Nampula Muatala;Nampula;Nampula;Muatala;Muatala;Surface water;84;0,6
Muaquia;10502;Niassa Majune Muaquia;Niassa;Majune;Muaquia;Muaquia;Surface water;26;8,8
Muanza;71201;Sofala Muanza Muanza;Sofala;Muanza;Muanza;Muanza;Surface water;123;16
Muanona;31703;Nampula Nacala Porto Muanona;Nampula;Nacala Porto;Muanona;Muanona;Surface water;217;4,7
Muambula;21201;Cabo Delgado Muidumbe Muambula;Cabo Delgado;Muidumbe;Muambula;Muambula;Surface water;584;14,6
Muaguide;20802;Cabo Delgado Meluco Muaguide;Cabo Delgado;Meluco;Muaguide;Muaguide;Surface water;134;9,9
Muabanama;40804;Zambezia Lugela Muabanama;Zambezia;Lugela;Muabanama;Muabanama;Surface water;363;14,2
Msawize;10902;Niassa Mavago Msawize;Niassa;Mavago;Msawize;Msawize;Surface water;97;16,4
Mphende;50801;Tete Magoe Mphende;Tete;Magoe;Mphende;Mphende;Surface water;643;30
Motaze;100303;Maputo Provincia Magude Motaze;Maputo Provincia;Magude;Motaze;Motaze;Surface water;961;97,5
Mossuril-Sede;31401;Nampula Mossuril Mossuril-Sede;Nampula;Mossuril;Mossuril-Sede;Mossuril-Sede;Surface water;218;2,7
Morrumbene;81101;Inhambane Morrumbene Morrumbene;Inhambane;Morrumbene;Morrumbene;Morrumbene;Surface water;567;6,7
Morrumbala-Sede;41301;Zambezia Morrumbala Morrumbala-Sede;Zambezia;Morrumbala;Morrumbala-Sede;Morrumbala-Sede;Surface water;1662;7,9
Mopeia;41201;Zambezia Mopeia Mopeia;Zambezia;Mopeia;Mopeia;Mopeia;Surface water;1249;13,2
Montepuéz;21001;Cabo Delgado Montepuez Cidade de Montepuez;Cabo Delgado;Montepuez;Cidade de Montepuez;Cidade de Montepuez;Surface water;119;1
Mongue;41004;Zambezia Milange Mongue;Zambezia;Milange;Mongue;Mongue;Surface water;2602;18,7
Monapo-Sede;31301;Nampula Monapo Monapo-Sede;Nampula;Monapo;Monapo-Sede;Monapo-Sede;Surface water;1390;8,8
Molumbo-Sede;42101;Zambezia Molumbo Molumbo-Sede;Zambezia;Molumbo;Molumbo-Sede;Molumbo-Sede;Surface water;2850;17,3
Mocubela;42001;Zambezia Mocubela Mocubela;Zambezia;Mocubela;Mocubela;Mocubela;Surface water;170;4,4
Mocoduene;81102;Inhambane Morrumbene Mocoduene;Inhambane;Morrumbene;Mocoduene;Mocoduene;Surface water;615;12,4
Mocímboa da Praia-Sede;20901;Cabo Delgado Mocimboa da Praia Mocimboa da Praia-Sede;Cabo Delgado;Mocimboa da Praia;Mocimboa da Praia-Sede;Mocimboa da Praia-Sede;Surface water;100;1,1
Moatize;51001;Tete Moatize Moatize;Tete;Moatize;Moatize;Moatize;Surface water;2249;20,4
Moamba-Sede;100701;Maputo Provincia Moamba Moamba-Sede;Maputo Provincia;Moamba;Moamba-Sede;Moamba-Sede;Surface water;298;12,7
Miteda;21203;Cabo Delgado Muidumbe Miteda;Cabo Delgado;Muidumbe;Miteda;Miteda;Surface water;237;8,1
Mitande;10602;Niassa Mandimba Mitande;Niassa;Mandimba;Mitande;Mitande;Surface water;785;14,2
Mirate-Sede;21003;Cabo Delgado Montepuez Mirate-Sede;Cabo Delgado;Montepuez;Mirate-Sede;Mirate-Sede;Surface water;144;2,8
Milhana;30802;Nampula Mecuburi Milhana;Nampula;Mecuburi;Milhana;Milhana;Surface water;203;8,7
Milange-Sede;41001;Zambezia Milange Milange-Sede;Zambezia;Milange;Milange-Sede;Milange-Sede;Surface water;4735;12,8
Mieze;21602;Cabo Delgado Metuge Mieze;Cabo Delgado;Metuge;Mieze;Mieze;Surface water;79;1,7
Micaune;40303;Zambezia Chinde Micaune;Zambezia;Chinde;Micaune;Micaune;Surface water;82;2,4
Meza;20203;Cabo Delgado Ancuabe Meza;Cabo Delgado;Ancuabe;Meza;Meza;Surface water;56;1,3
Metuge-Sede;21601;Cabo Delgado Metuge Metuge-Sede;Cabo Delgado;Metuge;Metuge-Sede;Metuge-Sede;Surface water;102;2,4
Metoro;20202;Cabo Delgado Ancuabe Metoro;Cabo Delgado;Ancuabe;Metoro;Metoro;Surface water;928;17,2
Meti;30502;Nampula Lalaua Meti;Nampula;Lalaua;Meti;Meti;Surface water;755;30,4
Metangula;10301;Niassa Lago Metangula;Niassa;Lago;Metangula;Metangula;Surface water;378;21,8
Messica;60703;Manica Manica Messica;Manica;Manica;Messica;Messica;Surface water;431;6,6
Messano;90204;Gaza Bilene Messano;Gaza;Bilene;Messano;Messano;Surface water;76;3,2
Mepuagiua;40503;Zambezia Gurue Mepuagiua;Zambezia;Gurue;Mepuagiua;Mepuagiua;Surface water;979;9,9
Meponda;10105;Niassa Lichinga Meponda;Niassa;Lichinga;Meponda;Meponda;Surface water;773;59,4
Mepica;10204;Niassa Cuamba Mepica;Niassa;Cuamba;Mepica;Mepica;Surface water;1047;15,5
Memba;30901;Nampula Memba Memba;Nampula;Memba;Memba;Memba;Surface water;1675;10,7
Meluluca;10306;Niassa Lago Meluluca;Niassa;Lago;Meluluca;Meluluca;Surface water;803;59,7
Meluco-Sede;20801;Cabo Delgado Meluco Meluco-Sede;Cabo Delgado;Meluco;Meluco-Sede;Meluco-Sede;Surface water;33;1,5
Meloco;21304;Cabo Delgado Namuno Meloco;Cabo Delgado;Namuno;Meloco;Meloco;Surface water;120;3,5
Megaza;41304;Zambezia Morrumbala Megaza;Zambezia;Morrumbala;Megaza;Megaza;Surface water;157;3,6
Mecula-Sede;11101;Niassa Mecula Mecula-Sede;Niassa;Mecula;Mecula-Sede;Mecula-Sede;Surface water;433;22,1
Mecufi-Sede;20701;Cabo Delgado Mecufi Mecufi-Sede;Cabo Delgado;Mecufi;Mecufi-Sede;Mecufi-Sede;Surface water;210;4,9
Mecuburi-Sede;30801;Nampula Mecuburi Mecuburi;Nampula;Mecuburi;Mecuburi;Mecuburi;Surface water;1420;14,7
Meconta;30701;Nampula Meconta Meconta;Nampula;Meconta;Meconta;Meconta;Surface water;282;7,8
M'bauane;42201;Zambezia Mulevala M'bauane;Zambezia;Mulevala;M'bauane;M'bauane;Surface water;319;4,8
Mbau;20903;Cabo Delgado Mocimboa da Praia Mbau;Cabo Delgado;Mocimboa da Praia;Mbau;Mbau;Surface water;73;5,4
Mazucane;91302;Gaza Chongoene Mazucane;Gaza;Chongoene;Mazucane;NA;Surface water;0;0
Mazua;30904;Nampula Memba Mazua;Nampula;Memba;Mazua;Mazua;Surface water;1280;12,3
Mazivila;90203;Gaza Bilene Mazivila;Gaza;Bilene;Mazivila;NA;Surface water;0;0
Mazeze;20404;Cabo Delgado Chiure Mazeze;Cabo Delgado;Chiure;Mazeze;Mazeze;Surface water;1012;41,4
Mawayela;81202;Inhambane Panda Mawayela;Inhambane;Panda;Mawayela;Mawayela;Surface water;19;3,6
Mavue;91002;Gaza Massangena Mavue;Gaza;Massangena;Mavue;Mavue;Surface water;151;19
Mavonde;60704;Manica Manica Mavonde;Manica;Manica;Mavonde;Mavonde;Surface water;663;21
Mavodze;91102;Gaza Massingir Mavodze;Gaza;Massingir;Mavodze;Mavodze;Surface water;666;88,9
Mavala;20304;Cabo Delgado Balama Mavala;Cabo Delgado;Balama;Mavala;Mavala;Surface water;124;5,8
Mavago-Sede;10901;Niassa Mavago Mavago-Sede;Niassa;Mavago;Mavago-Sede;Mavago-Sede;Surface water;110;4,6
Maúa;10801;Niassa Ma.a Ma.a;Niassa;Ma.a;Ma.a;Ma.a;Surface water;958;19,3
Matsinho;61202;Manica Vanduzi Matsinho;Manica;Vanduzi;Matsinho;Matsinho;Surface water;563;16,8
Matondovela;11102;Niassa Mecula Matondovela;Niassa;Mecula;Matondovela;Matondovela;Surface water;34;23,9
Matola Rio;100202;Maputo Provincia Boane Matola Rio;Maputo Provincia;Boane;Matola Rio;Matola Rio;Surface water;49;0,5
Matola;100101;Maputo Provincia Cidade da Matola Matola Cidade;Maputo Provincia;Cidade da Matola;Matola Cidade;Matola Cidade;Surface water;3;0
Matibane;31403;Nampula Mossuril Matibane;Nampula;Mossuril;Matibane;Matibane;Surface water;141;2,7
Matchedje;11604;Niassa Sanga Matchedje;Niassa;Sanga;Matchedje;Matchedje;Surface water;5;1,8
Massingir;91101;Gaza Massingir Massingir;Gaza;Massingir;Massingir;Massingir;Surface water;211;12,5
Massinga;80901;Inhambane Massinga Massinga;Inhambane;Massinga;Massinga;Massinga;Surface water;528;2,9
Massenger;10103;Niassa Lichinga Massenger;Niassa;Lichinga;Massenger;Massenger;Surface water;354;19,9
Massangulo (Ngauma);11401;Niassa Ngauma Massangulo (Ngauma);Niassa;Ngauma;Massangulo (Ngauma);Massangulo (Ngauma);Surface water;546;9,3
Massangena;91001;Gaza Massangena Massangena;Gaza;Massangena;Massangena;Massangena;Surface water;154;12,6
Marrupa-Sede;10701;Niassa Marrupa Marrupa-Sede;Niassa;Marrupa;Marrupa-Sede;Marrupa-Sede;Surface water;1499;24,1
Marromeu;71101;Sofala Marromeu Marromeu;Sofala;Marromeu;Marromeu;Marromeu;Surface water;156;1,6
Marrangira;10702;Niassa Marrupa Marrangira;Niassa;Marrupa;Marrangira;Marrangira;Surface water;80;13
Marracuene;100501;Maputo Provincia Marracuene Marracuene;Maputo Provincia;Marracuene;Marracuene;Marracuene;Surface water;5;0
Maringue;71001;Sofala Maringue Maringue;Sofala;Maringue;Maringue;Maringue;Surface water;256;5
Marara;51501;Tete Marara Marara;Tete;Marara;Marara;Marara;Surface water;400;8,4
Maquival;40106;Zambezia Quelimane Maquival;Zambezia;Quelimane;Maquival;Maquival;Surface water;7;0,1
Mapupulo;21002;Cabo Delgado Montepuez Mapupulo;Cabo Delgado;Montepuez;Mapupulo;Mapupulo;Surface water;86;1,5
Mapulanguene;100302;Maputo Provincia Magude Mapulanguene;Maputo Provincia;Magude;Mapulanguene;Mapulanguene;Surface water;68;26,3
Mapinhane;81302;Inhambane Vilankulo Mapinhane;Inhambane;Vilankulo;Mapinhane;Mapinhane;Surface water;222;3,5
Mapai;91401;Gaza Mapai Mapai;Gaza;Mapai;Mapai;Mapai;Surface water;643;31,2
Manje;50602;Tete Chi.ta Manje;Tete;Chi.ta;Manje;Manje;Surface water;1081;14
Maniamba;10304;Niassa Lago Maniamba;Niassa;Lago;Maniamba;Maniamba;Surface water;339;10,7
