Posto_key;POSTOID;key;Provincia_first;Distrito_first;Posto_first;Posto_first.y;water3;N.Surface;P.Surface
Hucula;21302;Cabo Delgado Namuno Hucula;Cabo Delgado;Namuno;Hucula;Hucula;Surface water;333;19
Homoine-Sede;80401;Inhambane Homoine Homoine-sede;Inhambane;Homoine;Homoine-sede;Homoine-sede;Surface water;100;9,6
Guro-Sede;60401;Manica Guro Guro-Sede;Manica;Guro;Guro-Sede;Guro-Sede;Surface water;402;9,4
Guerissa;41802;Zambezia Derre Guerissa;Zambezia;Derre;Guerissa;Guerissa;Surface water;433;20,8
Gorongosa;70801;Sofala Gorongosa Gorongosa;Sofala;Gorongosa;Gorongosa;Gorongosa;Surface water;796;9,1
Goonda;70602;Sofala Chibabava Goonda;Sofala;Chibabava;Goonda;Goonda;Surface water;1873;49,3
Gonhane;40702;Zambezia Inhassunge Gonhane;Zambezia;Inhassunge;Gonhane;NA;Surface water;0;0
Gondola;60301;Manica Gondola Gondola;Manica;Gondola;Gondola;NA;Surface water;0;0
Godide;90305;Gaza Chibuto Godide;Gaza;Chibuto;Godide;Godide;Surface water;2;0,1
Gile;40401;Zambezia Gile Gile;Zambezia;Gile;Gile;Gile;Surface water;1123;8,7
Galinha;71202;Sofala Muanza Galinha;Sofala;Muanza;Galinha;Galinha;Surface water;326;10,3
Furancungo;50701;Tete Macanga Furancungo;Tete;Macanga;Furancungo;Furancungo;Surface water;1259;12,1
Funhalouro;80201;Inhambane Funhalouro Funhalouro;Inhambane;Funhalouro;Funhalouro;Funhalouro;Surface water;632;20,8
Fíngoe;50902;Tete Mar.via Fingo.;Tete;Mar.via;Fingo.;Fingo.;Surface water;747;22,2
Etatara;10202;Niassa Cuamba Etatara;Niassa;Cuamba;Etatara;Etatara;Surface water;661;23,6
Estaquinha;70202;Sofala Buzi Estaquinha;Sofala;Buzi;Estaquinha;Estaquinha;Surface water;554;13,2
Espungabera;60801;Manica Mossurize Espungabera;Manica;Mossurize;Espungabera;Espungabera;Surface water;233;7,4
Eduardo Mondlane;90401;Gaza Chicualacuala Eduardo Mondlane;Gaza;Chicualacuala;Eduardo Mondlane;Eduardo Mondlane;Surface water;534;26,9
Dómue;50202;Tete Ang.nia Domue;Tete;Ang.nia;Domue;Domue;Surface water;2749;10,9
