"wat2"
"Agua Canalizada Dentro da Casa"
"Agua Canalizada Dentro da Casa Ou No Quintal"
"Agua Canalizada Na Casa Do Vizinho"
"Agua Canalizada No Quintal"
"Agua da Chuva"
"Agua da Cisterna (Ou Tanque MÓVel Ou CamiAO)"
"Agua De Fontanario"
"Agua De Nascentes nao Protegidas"
"Agua De Nascentes Protegidas"
"Agua Do FontanARio"
"Agua Do Furo"
"Agua Do Poco com Bomba Manual"
"Agua Do Poco nao Protegido"
"Agua Do Poco Ou Furo com Bomba Manual"
"Agua Do Poco Protegido Sem Bomba"
"Agua Do Rio, Lago, Lagoa"
"Agua Em garrafa"
"Agua Engarrafada/Mineral"
"Agua Mineral/Agua Engarrafada"
"Borehole With Pump"
"Bottled Water"
"Cart With Small Tank"
"compra De Outros, Cisterna"
"Dentro da Casa"
"Fora da Casa/Quintal"
"Furo/Poco Protegido"
"In Neighbor'S Land"
"In Own Land"
"Inside Neighbor'S House"
"Inside The House"
"Na Casa Do Vizinho"
"Neighbor'S House"
"Other"
"Outras Fontes"
"Outro"
"Piped Into Dwelling"
"Piped Into Neighbour'S Yard/Plot"
"Piped To Yard/Plot"
"PocO nao Protegido"
"Poco nao Protegido, Agua da Chuva"
"Poco ou Furo protegido com Bomba Manual"
"Poco Protegido"
"Protected Public Well"
"Protected Spring"
"Protected Well"
"Public Tap/Standpipe"
"Public Water"
"Rainwater"
"Rio, Lago, Lagoa"
"Sem Bomba Manual"
"Surface water"
"Tanker Truck"
"Torneira Pública/Fontanario"
"Tube Well Or Borehole"
"Unprotected Public Well"
"Unprotected Spring"
"Unprotected Well"
