"year";"survey";"prov";"ru";"wat4";"sum_pop_weight";"perc"
2003;"DHS 2003";"Cabo Delgado";"rural";"Surface water";383341265;9,2
2003;"DHS 2003";"Cabo Delgado";"rural";"Unimproved";3369208226;80,7
2003;"DHS 2003";"Cabo Delgado";"urbano";"Improved";740577909;65,2
2003;"DHS 2003";"Cabo Delgado";"urbano";"Surface water";2717332;0,2
2003;"DHS 2003";"Cabo Delgado";"urbano";"Unimproved";392813841;34,6
2003;"DHS 2003";"Gaza";"rural";"Improved";188371184;8,7
2003;"DHS 2003";"Gaza";"rural";"Surface water";434837607;20
2003;"DHS 2003";"Gaza";"rural";"Unimproved";1549717978;71,3
2003;"DHS 2003";"Gaza";"urbano";"Improved";399850597;51,3
2003;"DHS 2003";"Gaza";"urbano";"Surface water";3011011;0,4
2003;"DHS 2003";"Gaza";"urbano";"Unimproved";376356872;48,3
2003;"DHS 2003";"Inhambane";"rural";"Improved";498409927;12,8
2003;"DHS 2003";"Inhambane";"rural";"Surface water";348756234;8,9
2003;"DHS 2003";"Inhambane";"rural";"Unimproved";3058969483;78,3
2003;"DHS 2003";"Inhambane";"urbano";"Improved";684026489;64,1
2003;"DHS 2003";"Inhambane";"urbano";"Surface water";7749896;0,7
2003;"DHS 2003";"Inhambane";"urbano";"Unimproved";375378821;35,2
2003;"DHS 2003";"Manica";"rural";"Improved";421869169;16,1
2003;"DHS 2003";"Manica";"rural";"Surface water";799085673;30,5
2003;"DHS 2003";"Manica";"rural";"Unimproved";1403144870;53,5
2003;"DHS 2003";"Manica";"urbano";"Improved";1077420345;69
2003;"DHS 2003";"Manica";"urbano";"Surface water";63589560;4,1
2003;"DHS 2003";"Manica";"urbano";"Unimproved";419616789;26,9
2003;"DHS 2003";"Maputo Cidade";"urbano";"Improved";4037052556;98,9
2003;"DHS 2003";"Maputo Cidade";"urbano";"Unimproved";46300949;1,1
2003;"DHS 2003";"Maputo Provincia";"rural";"Improved";574342208;40
2003;"DHS 2003";"Maputo Provincia";"rural";"Surface water";267334381;18,6
2003;"DHS 2003";"Maputo Provincia";"rural";"Unimproved";592836725;41,3
2003;"DHS 2003";"Maputo Provincia";"urbano";"Improved";2483240065;86,8
2003;"DHS 2003";"Maputo Provincia";"urbano";"Surface water";3991950;0,1
2003;"DHS 2003";"Maputo Provincia";"urbano";"Unimproved";374459771;13,1
2003;"DHS 2003";"Nampula";"rural";"Improved";508696151;6,6
2003;"DHS 2003";"Nampula";"rural";"Surface water";1426952244;18,6
2003;"DHS 2003";"Nampula";"rural";"Unimproved";5738936832;74,8
2003;"DHS 2003";"Nampula";"urbano";"Improved";2564230273;61,6
2003;"DHS 2003";"Nampula";"urbano";"Surface water";196005607;4,7
2003;"DHS 2003";"Nampula";"urbano";"Unimproved";1404235637;33,7
2003;"DHS 2003";"Niassa";"rural";"Improved";87535489;4
2003;"DHS 2003";"Niassa";"rural";"Surface water";656970528;29,7
2003;"DHS 2003";"Niassa";"rural";"Unimproved";1466429916;66,3
2003;"DHS 2003";"Niassa";"urbano";"Improved";368869342;59,9
2003;"DHS 2003";"Niassa";"urbano";"Surface water";40673331;6,6
2003;"DHS 2003";"Niassa";"urbano";"Unimproved";205887393;33,5
2003;"DHS 2003";"Sofala";"rural";"Improved";119568995;5,1
2003;"DHS 2003";"Sofala";"rural";"Surface water";769088091;32,8
2003;"DHS 2003";"Sofala";"rural";"Unimproved";1453670914;62,1
2003;"DHS 2003";"Sofala";"urbano";"Improved";1274452443;65
2003;"DHS 2003";"Sofala";"urbano";"Surface water";11515044;0,6
2003;"DHS 2003";"Sofala";"urbano";"Unimproved";673562269;34,4
2003;"DHS 2003";"Tete";"rural";"Improved";135521934;3,1
2003;"DHS 2003";"Tete";"rural";"Surface water";1280378831;29,4
2003;"DHS 2003";"Tete";"rural";"Unimproved";2940169995;67,5
2003;"DHS 2003";"Tete";"urbano";"Improved";496399840;63,4
2003;"DHS 2003";"Tete";"urbano";"Surface water";194101280;24,8
2003;"DHS 2003";"Tete";"urbano";"Unimproved";92376735;11,8
2003;"DHS 2003";"Zambezia";"rural";"Improved";859370447;9,9
2003;"DHS 2003";"Zambezia";"rural";"Surface water";1940161395;22,3
2003;"DHS 2003";"Zambezia";"rural";"Unimproved";5917524663;67,9
2003;"DHS 2003";"Zambezia";"urbano";"Improved";597908079;53,7
2003;"DHS 2003";"Zambezia";"urbano";"Surface water";121414015;10,9
2003;"DHS 2003";"Zambezia";"urbano";"Unimproved";394780241;35,4
2003;"IOF 2002-2003";"Cabo Delgado";"rural";"Improved";444542,990951538;37,2
2003;"IOF 2002-2003";"Cabo Delgado";"rural";"Surface water";157674,355865479;13,2
2003;"IOF 2002-2003";"Cabo Delgado";"rural";"Unimproved";591809,201019287;49,6
2003;"IOF 2002-2003";"Cabo Delgado";"urbano";"Improved";288121,109313965;83
2003;"IOF 2002-2003";"Cabo Delgado";"urbano";"Unimproved";59075,5839233398;17
2003;"IOF 2002-2003";"Gaza";"rural";"Improved";535984,692703247;56,2
2003;"IOF 2002-2003";"Gaza";"rural";"Surface water";148288,54876709;15,5
2003;"IOF 2002-2003";"Gaza";"rural";"Unimproved";269371,131164551;28,2
2003;"IOF 2002-2003";"Gaza";"urbano";"Improved";262713,02545166;79,8
2003;"IOF 2002-2003";"Gaza";"urbano";"Surface water";3877,28076171875;1,2
2003;"IOF 2002-2003";"Gaza";"urbano";"Unimproved";62740,2272033691;19,1
2003;"IOF 2002-2003";"Inhambane";"rural";"Improved";281112,570678711;27,4
2003;"IOF 2002-2003";"Inhambane";"rural";"Surface water";107074,550994873;10,5
2003;"IOF 2002-2003";"Inhambane";"rural";"Unimproved";636279,01550293;62,1
2003;"IOF 2002-2003";"Inhambane";"urbano";"Improved";170237,980010986;59,1
2003;"IOF 2002-2003";"Inhambane";"urbano";"Surface water";2975,76019287109;1
2003;"IOF 2002-2003";"Inhambane";"urbano";"Unimproved";114798,555770874;39,9
2003;"IOF 2002-2003";"Manica";"rural";"Improved";301570,014801025;38,5
2003;"IOF 2002-2003";"Manica";"rural";"Surface water";274636,210403442;35,1
2003;"IOF 2002-2003";"Manica";"rural";"Unimproved";206766,507263184;26,4
2003;"IOF 2002-2003";"Manica";"urbano";"Improved";296063,087165833;66,9
2003;"IOF 2002-2003";"Manica";"urbano";"Surface water";13174,3515930176;3
2003;"IOF 2002-2003";"Manica";"urbano";"Unimproved";133000,483276367;30,1
2003;"IOF 2002-2003";"Maputo Cidade";"urbano";"Improved";708115,21011734;67,4
2003;"IOF 2002-2003";"Maputo Cidade";"urbano";"Unimproved";343153,033634186;32,6
2003;"IOF 2002-2003";"Maputo Provincia";"rural";"Improved";179143,651405334;45,6
2003;"IOF 2002-2003";"Maputo Provincia";"rural";"Surface water";56813,4644317627;14,5
2003;"IOF 2002-2003";"Maputo Provincia";"rural";"Unimproved";156679,680953979;39,9
2003;"IOF 2002-2003";"Maputo Provincia";"urbano";"Improved";410781,30714035;65,3
2003;"IOF 2002-2003";"Maputo Provincia";"urbano";"Surface water";9785,82647705078;1,6
2003;"IOF 2002-2003";"Maputo Provincia";"urbano";"Unimproved";208456,690208435;33,1
2003;"IOF 2002-2003";"Nampula";"rural";"Improved";436275,755889893;21,2
2003;"IOF 2002-2003";"Nampula";"rural";"Surface water";487003,141662598;23,7
2003;"IOF 2002-2003";"Nampula";"rural";"Unimproved";1131743,09750366;55,1
2003;"IOF 2002-2003";"Nampula";"urbano";"Improved";1022322,34368896;73,6
2003;"IOF 2002-2003";"Nampula";"urbano";"Surface water";26432,4218139648;1,9
2003;"IOF 2002-2003";"Nampula";"urbano";"Unimproved";340515,08001709;24,5
2003;"IOF 2002-2003";"Niassa";"rural";"Improved";212911,822937012;29,4
2003;"IOF 2002-2003";"Niassa";"rural";"Surface water";143104,103775024;19,8
2003;"IOF 2002-2003";"Niassa";"rural";"Unimproved";368047,345581055;50,8
2003;"IOF 2002-2003";"Niassa";"urbano";"Improved";95599,214805603;53,9
2003;"IOF 2002-2003";"Niassa";"urbano";"Surface water";6115,63459396362;3,4
2003;"IOF 2002-2003";"Niassa";"urbano";"Unimproved";75650,1242790222;42,7
2003;"IOF 2002-2003";"Sofala";"rural";"Improved";318344,544235229;34,6
2003;"IOF 2002-2003";"Sofala";"rural";"Surface water";242529,797180176;26,3
